Run Number,Std Dev (Position),Success Rate,Optimization Run,Model Name,Scale,HSV_V

run_101,37.192691,0.100000,36,yolo40.pt,0.9507143064099162,0.3745401188473625
run_102,53.196376,0.300000,40,yolo44.pt,0.9507143064099162,0.3745401188473625
run_103,49.980919,0.000000,40,yolo45.pt,0.5986584841970366,0.7319939418114051
run_104,36.716532,0.300000,40,yolo46.pt,0.15599452033620265,0.15601864044243652
run_105,33.652143,0.200000,40,yolo47.pt,0.8661761457749352,0.05808361216819946
run_106,45.236811,0.500000,40,yolo48.pt,0.7080725777960455,0.6011150117432088
run_107,22.949190,0.100000,40,yolo49.pt,0.5308079280904162,0.6729641731118157
run_108,43.316538,0.200000,40,yolo50.pt,0.7557757391323319,0.5634021759730277
run_109,7.054028,0.500000,40,yolo51.pt,0.5216672425615551,0.10135811913498816
run_110,48.974947,0.000000,40,yolo52.pt,0.4637798619423298,0.005643536918647496
run_111,1.180937,0.600000,40,yolo53.pt,0.6421866871377973,0.6675357253313597
run_112,23.764002,0.000000,40,yolo54.pt,0.2152459357574008,0.032470094248766124
run_113,50.538734,0.300000,40,yolo55.pt,0.824368934807657,0.4418021778832386
run_114,1.536071,0.800000,40,yolo56.pt,0.43831991926826286,0.018620717504165385
run_115,47.001992,0.000000,40,yolo57.pt,0.4873730306434406,0.39512765973747266
run_116,33.968956,0.500000,40,yolo58.pt,0.12240267342862987,0.6901948070264838
run_117,30.936887,0.000000,40,yolo59.pt,0.15168031883844835,0.6040605058689255
run_118,53.819628,0.400000,40,yolo60.pt,0.883944424562931,0.7927532390125848
run_119,40.092514,0.500000,40,yolo61.pt,0.16544199333461662,0.41940482792710654
run_120,43.740759,0.000000,40,yolo62.pt,0.1984982210259505,0.11496794841061886
run_121,46.099023,0.100000,40,yolo63.pt,0.26146055935533763,0.9554954880768387

run_126,49.631516,0.300000,41,yolo66.pt,0.9507143064099162,0.3745401188473625
run_127,43.028441,0.700000,43,yolo68.pt,0.9507143064099162,0.3745401188473625
run_128,43.017764,0.700000,43,yolo69.pt,0.5986584841970366,0.7319939418114051
run_129,49.030602,0.500000,43,yolo70.pt,0.15599452033620265,0.15601864044243652
run_130,52.951539,0.300000,43,yolo71.pt,0.8661761457749352,0.05808361216819946
run_131,51.591753,0.600000,43,yolo73.pt,0.5308079280904162,0.6729641731118157
run_132,39.749235,0.600000,43,yolo74.pt,0.7411206925350964,0.7048425694728376
run_133,49.742068,0.400000,43,yolo75.pt,0.5216672425615551,0.10135811913498816
run_134,42.652490,0.500000,43,yolo76.pt,0.5868859663414088,0.89239854468441
run_135,38.258499,0.500000,43,yolo77.pt,0.906063489283508,0.4815177073468164
run_136,47.514511,0.400000,43,yolo78.pt,0.2152459357574008,0.032470094248766124
run_137,34.087846,0.800000,43,yolo79.pt,0.824368934807657,0.4418021778832386
run_138,40.910232,0.500000,43,yolo80.pt,0.43831991926826286,0.018620717504165385
run_139,45.494470,0.600000,43,yolo81.pt,0.8206602235716081,0.44981228087876735
run_140,19.620231,0.400000,43,yolo82.pt,0.12240267342862987,0.6901948070264838
run_141,55.006580,0.700000,43,yolo83.pt,0.8237850093063556,0.44292545475797773
run_142,53.212256,0.500000,43,yolo84.pt,0.8216883984834625,0.44076363123345774
run_143,49.373739,0.400000,43,yolo85.pt,0.16544199333461662,0.41940482792710654
run_144,42.873017,0.500000,43,yolo86.pt,0.1984982210259505,0.11496794841061886
run_145,30.021181,0.700000,43,yolo87.pt,0.8178525077028943,0.44992176937877926
run_146,47.946397,0.500000,43,yolo88.pt,0.9516958455517951,0.37872807884054893
run_147,39.296211,0.700000,43,yolo89.pt,0.7750326118336215,0.20830712250330563
run_148,40.502456,0.300000,43,yolo90.pt,0.6807779824908868,0.8191778848954684
run_149,44.682189,0.700000,43,yolo91.pt,0.5973155277546083,0.7306332823557344
run_150,45.471891,0.700000,43,yolo92.pt,0.7653509812867528,0.6346746696772524
run_151,51.554831,0.400000,43,yolo93.pt,0.8014001301221002,0.4095165264557882
run_152,43.496310,0.600000,43,yolo94.pt,0.5971760037436868,0.7274395949056437
run_153,42.581349,0.700000,43,yolo95.pt,0.8274925027196166,0.4426432063316934
run_154,36.059172,0.900000,43,yolo96.pt,0.8266265813570182,0.44024820425492883
run_155,51.670531,0.200000,43,yolo97.pt,0.8314333879553136,0.44019740913718797
run_156,53.251689,0.500000,43,yolo98.pt,0.7758075758424399,0.4651306084590795
run_157,49.988262,0.700000,43,yolo99.pt,0.8253258845690801,0.4417209629404678
run_158,51.945268,0.600000,43,yolo100.pt,0.7660009273882367,0.6378536930760063

