Run Number,Std Dev (Position),Success Rate,Optimization Run,Model Name,Training Folder,Scale,HSV_V,Test_model,opt_success,acq_fn,sim_ready
run_342,14.138118,0.300000,25,yolo410.pt,Train285,1.0,0.6190476190476191,yolo371.pt,'True',EI,'True'
run_343,56.099803,0.700000,28,yolo413.pt,Train288,0.1,0.5,yolo413.pt,N/A,N/A,'True'
run_344,61.292705,0.000000,28,yolo414.pt,Train289,0.1,0.1,yolo414.pt,'True',UCB,'True'
run_345,38.110767,0.000000,28,yolo415.pt,Train290,0.5,0.9,yolo415.pt,'True',UCB,'True'
run_346,49.450042,0.000000,28,yolo416.pt,Train291,0.9,0.1,yolo416.pt,'True',UCB,'True'
run_347,0.976810,0.000000,28,yolo417.pt,Train292,0.5,0.5,yolo417.pt,'True',UCB,'True'
run_348,0.115643,1.000000,29,yolo418.pt,Train294,0.1,0.5,yolo418.pt,N/A,N/A,'True'
run_349,10.604544,0.200000,29,yolo419.pt,Train295,0.1,0.1,yolo419.pt,'True',UCB,'True'
run_350,9.683360,0.000000,29,yolo420.pt,Train296,0.5,0.9,yolo420.pt,'True',UCB,'True'
run_351,0.804418,0.000000,29,yolo421.pt,Train297,0.9,0.1,yolo421.pt,'True',UCB,'True'
run_352,0.468770,1.000000,29,yolo422.pt,Train298,0.5,0.5,yolo422.pt,'True',UCB,'True'
run_353,49.361187,0.700000,29,yolo423.pt,Train299,0.2857142857142857,0.47619047619047616,yolo423.pt,'True',UCB,'True'
run_354,3.617724,0.800000,29,yolo424.pt,Train300,0.0,0.6190476190476191,yolo424.pt,'True',UCB,'True'
run_355,0.936940,0.900000,29,yolo425.pt,Train301,0.6666666666666666,0.47619047619047616,yolo425.pt,'True',UCB,'True'
run_356,58.494829,0.500000,29,yolo426.pt,Train302,0.0,0.42857142857142855,yolo426.pt,'True',UCB,'True'
run_357,1.171193,0.900000,29,yolo427.pt,Train303,0.5238095238095237,0.38095238095238093,yolo427.pt,'True',UCB,'True'
run_358,1.121213,0.900000,29,yolo428.pt,Train304,0.5714285714285714,0.5714285714285714,yolo428.pt,'True',UCB,'True'
run_359,46.473008,0.800000,29,yolo429.pt,Train305,0.14285714285714285,0.6666666666666666,yolo429.pt,'True',UCB,'True'
run_360,10.101226,0.800000,29,yolo430.pt,Train306,0.5714285714285714,0.47619047619047616,yolo430.pt,'True',UCB,'True'
run_361,8.762748,0.800000,29,yolo431.pt,Train307,0.9523809523809523,0.6666666666666666,yolo431.pt,'True',UCB,'True'
run_362,2.618456,0.900000,29,yolo432.pt,Train308,1.0,0.9523809523809523,yolo432.pt,'True',UCB,'True'
run_363,6.970917,0.800000,29,yolo433.pt,Train309,0.8571428571428571,0.8571428571428571,yolo433.pt,'True',UCB,'True'
run_364,1.042007,0.900000,29,yolo434.pt,Train310,1.0,0.8095238095238095,yolo434.pt,'True',UCB,'True'
run_365,4.827967,0.800000,29,yolo435.pt,Train311,0.0,1.0,yolo435.pt,'True',UCB,'True'
run_366,1.401151,0.000000,29,yolo436.pt,Train312,1.0,1.0,yolo436.pt,'True',UCB,'True'
run_367,10.166851,0.500000,29,yolo437.pt,Train313,0.47619047619047616,0.0,yolo437.pt,'True',UCB,'True'
run_368,4.405633,0.700000,29,yolo438.pt,Train314,0.7619047619047619,0.6666666666666666,yolo438.pt,'True',UCB,'True'
run_369,16.738763,0.800000,29,yolo439.pt,Train315,1.0,0.7619047619047619,yolo439.pt,'True',UCB,'True'
run_370,23.305957,0.000000,29,yolo440.pt,Train316,0.0,0.8095238095238095,yolo440.pt,'True',UCB,'True'
run_371,30.723982,0.700000,29,yolo441.pt,Train317,0.14285714285714285,0.5714285714285714,yolo441.pt,'True',UCB,'True'
run_372,34.280495,0.700000,29,yolo442.pt,Train318,0.47619047619047616,0.5238095238095237,yolo442.pt,'True',UCB,'True'
run_373,1.597751,0.000000,29,yolo443.pt,Train319,0.5714285714285714,0.3333333333333333,yolo443.pt,'True',UCB,'True'
run_374,5.132182,0.700000,29,yolo444.pt,Train320,0.19047619047619047,1.0,yolo444.pt,'True',UCB,'True'
run_375,5.263219,0.800000,29,yolo445.pt,Train321,0.6190476190476191,0.5238095238095237,yolo445.pt,'True',UCB,'True'
run_376,6.555570,0.900000,29,yolo446.pt,Train322,0.9523809523809523,0.8095238095238095,yolo446.pt,'True',UCB,'True'
run_377,6.526157,0.900000,29,yolo447.pt,Train323,0.9523809523809523,0.7619047619047619,yolo447.pt,'True',UCB,'True'
run_378,5.771457,0.000000,30,yolo448.pt,Train324,0.38095238095238093,0.47619047619047616,yolo448.pt,N/A,N/A,'True'
run_379,0.332935,1.000000,30,yolo449.pt,Train325,0.0,0.5238095238095237,yolo449.pt,'True',EI,'True'
run_380,32.917937,0.800000,30,yolo450.pt,Train326,0.0,0.5714285714285714,yolo450.pt,'True',EI,'True'
run_381,7.310689,0.800000,30,yolo451.pt,Train327,0.6666666666666666,0.5238095238095237,yolo451.pt,'True',EI,'True'
run_382,9.181460,0.400000,30,yolo452.pt,Train328,0.0,0.42857142857142855,yolo452.pt,'True',EI,'True'
run_383,13.658561,0.700000,30,yolo453.pt,Train329,0.047619047619047616,0.6190476190476191,yolo453.pt,'True',EI,'True'
run_384,5.488955,0.800000,30,yolo454.pt,Train330,0.6190476190476191,0.47619047619047616,yolo454.pt,'True',EI,'True'
run_385,19.906537,0.400000,30,yolo455.pt,Train331,0.6190476190476191,0.5714285714285714,yolo455.pt,'True',EI,'True'
run_386,0.418848,1.000000,30,yolo456.pt,Train332,0.6190476190476191,0.38095238095238093,yolo456.pt,'True',EI,'True'
run_387,6.225601,0.900000,30,yolo457.pt,Train333,0.6190476190476191,0.3333333333333333,yolo457.pt,'True',EI,'True'
run_388,33.327715,0.300000,30,yolo458.pt,Train334,0.6666666666666666,0.38095238095238093,yolo458.pt,'True',EI,'True'
run_389,2.109761,0.200000,30,yolo459.pt,Train335,0.5238095238095237,0.3333333333333333,yolo459.pt,'True',EI,'True'
run_390,7.638560,0.800000,30,yolo460.pt,Train336,0.047619047619047616,0.5714285714285714,yolo460.pt,'True',EI,'True'
run_391,3.302912,0.000000,30,yolo461.pt,Train337,1.0,1.0,yolo461.pt,'True',EI,'True'
run_392,0.247746,1.000000,30,yolo462.pt,Train338,0.09523809523809523,0.5714285714285714,yolo462.pt,'True',EI,'True'
run_393,12.694138,0.200000,30,yolo463.pt,Train339,0.09523809523809523,0.5238095238095237,yolo463.pt,'True',EI,'True'
run_394,41.645010,0.300000,30,yolo464.pt,Train340,0.0,0.6190476190476191,yolo464.pt,'True',EI,'True'
run_395,2.151921,0.900000,30,yolo465.pt,Train341,0.5714285714285714,0.47619047619047616,yolo465.pt,'True',EI,'True'
run_396,4.088964,0.800000,30,yolo466.pt,Train342,0.6190476190476191,0.42857142857142855,yolo466.pt,'True',EI,'True'
run_397,30.860004,0.000000,30,yolo467.pt,Train343,0.09523809523809523,1.0,yolo467.pt,'True',EI,'True'
run_398,0.085651,1.000000,30,yolo468.pt,Train344,0.5714285714285714,0.42857142857142855,yolo468.pt,'True',EI,'True'
run_399,0.081615,1.000000,30,yolo469.pt,Train345,0.5714285714285714,0.5238095238095237,yolo469.pt,'True',EI,'True'
run_400,1.688571,0.900000,30,yolo470.pt,Train346,0.5238095238095237,0.0,yolo470.pt,'True',EI,'True'
run_401,13.234587,0.000000,30,yolo471.pt,Train347,0.5714285714285714,0.0,yolo471.pt,'True',EI,'True'
run_402,0.079848,1.000000,30,yolo472.pt,Train348,0.38095238095238093,0.0,yolo472.pt,'True',EI,'True'
run_403,22.304840,0.000000,31,yolo473.pt,Train349,0.1,0.5,yolo473.pt,N/A,N/A,'True'
run_404,33.771067,0.000000,31,yolo474.pt,Train350,0.1,0.1,yolo474.pt,'True',UCB,'True'
run_405,4.475991,0.000000,31,yolo475.pt,Train351,0.5,0.9,yolo475.pt,'True',UCB,'True'
