Run Number,Std Dev (Position),Success Rate,Optimization Run,Model Name,Training Folder,Scale,HSV_V,Test_model,opt_success,acq_fn,sim_ready
run_275,48.937413,0.400000,17,yolo351.pt,Train214,0.1,0.5,yolo351.pt,N/A,N/A,'True'
run_276,35.101188,0.000000,17,yolo352.pt,Train215,0.1,0.1,yolo352.pt,'True',UCB,'True'
run_277,15.497185,0.266667,17,yolo353.pt,Train216,0.5,0.9,yolo353.pt,'True',UCB,'True'
run_278,23.883041,0.000000,17,yolo354.pt,Train221,1.0,0.5238095238095237,yolo354.pt,'False',UCB,'True'
run_279,8.603873,0.400000,24,yolo356.pt,Train231,0.1,0.5,yolo356.pt,N/A,N/A,'True'
run_280,1.611695,0.266667,24,yolo357.pt,Train232,0.1,0.1,yolo357.pt,'True',UCB,'True'
run_281,12.548474,0.066667,24,yolo358.pt,Train233,0.5,0.9,yolo358.pt,'True',UCB,'True'
run_282,2.754818,0.866667,24,yolo359.pt,Train234,0.9,0.1,yolo359.pt,'True',UCB,'True'
run_283,11.427257,0.933333,24,yolo360.pt,Train235,0.5,0.5,yolo360.pt,'True',UCB,'True'
run_284,1.801180,0.733333,24,yolo361.pt,Train236,0.6666666666666666,0.47619047619047616,yolo361.pt,'True',UCB,'True'
run_285,1.081489,0.933333,24,yolo362.pt,Train237,0.42857142857142855,0.38095238095238093,yolo362.pt,'True',UCB,'True'
run_286,0.790311,1.000000,24,yolo363.pt,Train238,0.47619047619047616,0.6190476190476191,yolo363.pt,'True',UCB,'True'
run_287,1.411815,0.800000,24,yolo364.pt,Train239,0.42857142857142855,0.6190476190476191,yolo364.pt,'True',UCB,'True'
run_288,1.047509,0.266667,24,yolo365.pt,Train240,0.6190476190476191,0.6666666666666666,yolo365.pt,'True',UCB,'True'
run_289,31.426206,0.000000,24,yolo366.pt,Train241,0.0,1.0,yolo366.pt,'True',UCB,'True'
run_290,6.507747,0.133333,24,yolo367.pt,Train242,1.0,1.0,yolo367.pt,'True',UCB,'True'
run_291,1.026237,0.866667,24,yolo368.pt,Train243,0.5238095238095237,0.5238095238095237,yolo368.pt,'True',UCB,'True'
run_292,0.752986,1.000000,24,yolo369.pt,Train244,1.0,0.47619047619047616,yolo369.pt,'True',UCB,'True'
run_293,0.964331,0.933333,24,yolo370.pt,Train245,1.0,0.42857142857142855,yolo370.pt,'True',UCB,'True'
run_294,0.382267,1.000000,24,yolo371.pt,Train246,1.0,0.6190476190476191,yolo371.pt,'True',UCB,'True'
run_295,0.961196,0.933333,24,yolo372.pt,Train247,1.0,0.5714285714285714,yolo372.pt,'True',UCB,'True'
run_296,1.507621,0.733333,24,yolo373.pt,Train248,1.0,0.6666666666666666,yolo373.pt,'True',UCB,'True'
run_297,0.977353,0.933333,24,yolo374.pt,Train249,1.0,0.5238095238095237,yolo374.pt,'True',UCB,'True'
run_298,0.818942,0.933333,24,yolo375.pt,Train250,0.5238095238095237,0.0,yolo375.pt,'True',UCB,'True'
run_299,1.134921,0.866667,24,yolo376.pt,Train251,1.0,0.3333333333333333,yolo376.pt,'True',UCB,'True'
run_300,0.811588,1.000000,24,yolo377.pt,Train252,0.9523809523809523,0.5238095238095237,yolo377.pt,'True',UCB,'True'
run_301,1.751081,0.800000,24,yolo378.pt,Train253,0.9047619047619047,0.5238095238095237,yolo378.pt,'True',UCB,'True'
run_302,1.102912,0.933333,24,yolo379.pt,Train254,1.0,0.0,yolo379.pt,'True',UCB,'True'
run_303,7.141883,0.866667,24,yolo380.pt,Train255,0.9523809523809523,0.47619047619047616,yolo380.pt,'True',UCB,'True'
run_304,15.949312,0.466667,24,yolo381.pt,Train256,0.5238095238095237,0.5714285714285714,yolo381.pt,'True',UCB,'True'
run_305,1.231174,0.933333,24,yolo382.pt,Train257,0.0,0.0,yolo382.pt,'True',UCB,'True'
run_306,27.886566,0.933333,24,yolo383.pt,Train258,0.47619047619047616,0.5714285714285714,yolo383.pt,'True',UCB,'True'
run_307,15.069856,0.800000,24,yolo384.pt,Train259,0.47619047619047616,0.5238095238095237,yolo384.pt,'True',UCB,'True'
run_308,1.511013,0.800000,24,yolo385.pt,Train260,0.6666666666666666,0.23809523809523808,yolo385.pt,'True',UCB,'True'
run_309,0.944531,0.933333,25,yolo386.pt,Train261,0.5714285714285714,0.42857142857142855,yolo386.pt,N/A,N/A,'True'
run_310,5.375200,0.066667,25,yolo387.pt,Train262,0.5714285714285714,0.47619047619047616,yolo387.pt,'True',EI,'True'
